File_Path,Sample,Flowcell_ID,Platform,Read_Length,Summed_Read_Numbers
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,18400,52
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,14700,114
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12400,129
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,17800,77
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13200,122
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13100,129
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,19500,42
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13900,121
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,15400,107
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,23400,8
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13600,119
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12700,151
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,14400,126
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,16600,92
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13300,127
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12000,121
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12200,138
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,11500,103
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,14500,132
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,11100,77
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13700,135
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,10700,37
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,11700,103
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,19600,42
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,11600,115
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13400,132
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,22300,18
